domain_1,domain_2,year,cosine_similarity
econ,hep-ex,2026,0.104734
econ,hep-lat,2019,0.067618
econ,hep-lat,2020,0.075607
econ,hep-lat,2021,0.062253
econ,hep-lat,2022,0.08537
econ,hep-lat,2023,0.091103
econ,hep-lat,2024,0.09219
econ,hep-lat,2025,0.111277
econ,hep-lat,2026,0.130131
econ,hep-ph,2019,0.118013
econ,hep-ph,2020,0.115134
econ,hep-ph,2021,0.104263
econ,hep-ph,2022,0.129197
econ,hep-ph,2023,0.125089
econ,hep-ph,2024,0.129129
econ,hep-ph,2025,0.150001
econ,hep-ph,2026,0.172088
econ,hep-th,2019,0.095955
econ,hep-th,2020,0.082576
econ,hep-th,2021,0.075484
econ,hep-th,2022,0.094741
econ,hep-th,2023,0.085593
econ,hep-th,2024,0.093247
econ,hep-th,2025,0.106335
econ,hep-th,2026,0.120791
econ,math,2019,0.290818
econ,math,2020,0.281954
econ,math,2021,0.270537
econ,math,2022,0.285451
econ,math,2023,0.281679
econ,math,2024,0.273196
econ,math,2025,0.287758
econ,math,2026,0.309135
econ,math-ph,2019,0.150117
econ,math-ph,2020,0.127448
econ,math-ph,2021,0.11975
econ,math-ph,2022,0.133631
econ,math-ph,2023,0.124291
econ,math-ph,2024,0.110765
econ,math-ph,2025,0.129028
econ,math-ph,2026,0.150896
econ,nlin,2019,0.128617
econ,nlin,2020,0.109456
econ,nlin,2021,0.086804
econ,nlin,2022,0.11823
econ,nlin,2023,0.104005
econ,nlin,2024,0.116167
econ,nlin,2025,0.145603
econ,nlin,2026,0.175155
econ,nucl-ex,2019,-0.042867
econ,nucl-ex,2020,-0.020203
econ,nucl-ex,2021,-0.024725
econ,nucl-ex,2022,-0.003224
econ,nucl-ex,2023,-0.01125
econ,nucl-ex,2024,-0.012661
econ,nucl-ex,2025,0.02005
econ,nucl-ex,2026,0.038207
econ,nucl-th,2019,0.034465
econ,nucl-th,2020,0.018827
econ,nucl-th,2021,0.023931
econ,nucl-th,2022,0.039784
econ,nucl-th,2023,0.041039
econ,nucl-th,2024,0.043115
econ,nucl-th,2025,0.067504
econ,nucl-th,2026,0.085757
econ,physics,2019,0.04305
econ,physics,2020,0.063819
econ,physics,2021,0.050934
econ,physics,2022,0.062709
econ,physics,2023,0.061124
econ,physics,2024,0.081889
econ,physics,2025,0.129597
econ,physics,2026,0.172142
econ,q-bio,2019,0.350876
econ,q-bio,2020,0.416516
econ,q-bio,2021,0.372343
econ,q-bio,2022,0.372555
econ,q-bio,2023,0.33028
econ,q-bio,2024,0.328614
econ,q-bio,2025,0.366974
econ,q-bio,2026,0.420873
econ,q-fin,2019,0.730287
econ,q-fin,2020,0.726625
econ,q-fin,2021,0.686333
econ,q-fin,2022,0.701742
econ,q-fin,2023,0.689642
econ,q-fin,2024,0.711894
econ,q-fin,2025,0.717691
econ,q-fin,2026,0.756749
econ,quant-ph,2019,0.126183
econ,quant-ph,2020,0.128754
econ,quant-ph,2021,0.114991
econ,quant-ph,2022,0.137851
econ,quant-ph,2023,0.135152
econ,quant-ph,2024,0.140186
econ,quant-ph,2025,0.169226
econ,quant-ph,2026,0.20246
econ,stat,2019,0.655833
econ,stat,2020,0.653232
econ,stat,2021,0.633401
econ,stat,2022,0.654407
econ,stat,2023,0.648568
econ,stat,2024,0.670364
econ,stat,2025,0.67915
econ,stat,2026,0.718915
eess,gr-qc,2019,0.088163
eess,gr-qc,2020,0.095032
eess,gr-qc,2021,0.111729
eess,gr-qc,2022,0.120725
eess,gr-qc,2023,0.13074
eess,gr-qc,2024,0.136626
eess,gr-qc,2025,0.168392
eess,gr-qc,2026,0.18768
eess,hep-ex,2019,0.086958
eess,hep-ex,2020,0.132669
eess,hep-ex,2021,0.149358
eess,hep-ex,2022,0.169576
eess,hep-ex,2023,0.196544
eess,hep-ex,2024,0.199566
eess,hep-ex,2025,0.211337
eess,hep-ex,2026,0.228305
eess,hep-lat,2019,0.078451
eess,hep-lat,2020,0.110878
eess,hep-lat,2021,0.112605
eess,hep-lat,2022,0.128726
eess,hep-lat,2023,0.149928
eess,hep-lat,2024,0.152479
eess,hep-lat,2025,0.178738
eess,hep-lat,2026,0.193948
eess,hep-ph,2019,0.113479
eess,hep-ph,2020,0.130569
eess,hep-ph,2021,0.134375
eess,hep-ph,2022,0.144653
eess,hep-ph,2023,0.151611
eess,hep-ph,2024,0.158562
eess,hep-ph,2025,0.18249
eess,hep-ph,2026,0.198231
eess,hep-th,2019,0.050608
eess,hep-th,2020,0.060584
eess,hep-th,2021,0.070472
eess,hep-th,2022,0.079761
eess,hep-th,2023,0.080817
eess,hep-th,2024,0.087517
eess,hep-th,2025,0.110919
eess,hep-th,2026,0.129277
eess,math,2019,0.171007
eess,math,2020,0.201211
eess,math,2021,0.212658
eess,math,2022,0.209048
eess,math,2023,0.215249
eess,math,2024,0.208008
eess,math,2025,0.230579
eess,math,2026,0.228911
eess,math-ph,2019,0.094491
eess,math-ph,2020,0.090832
eess,math-ph,2021,0.091311
eess,math-ph,2022,0.090866
eess,math-ph,2023,0.094854
eess,math-ph,2024,0.09014
eess,math-ph,2025,0.130097
eess,math-ph,2026,0.152744
eess,nlin,2019,0.118178
eess,nlin,2020,0.135685
eess,nlin,2021,0.120133
eess,nlin,2022,0.128199
eess,nlin,2023,0.138623
eess,nlin,2024,0.165987
eess,nlin,2025,0.225648
eess,nlin,2026,0.255611
